"ticker","start_date","end_date","Security","GICS.Sector"
"A","2000-06-05",NA,"Agilent Technologies","Health Care"
"AABA","1999-12-08","2017-06-19","Altaba Inc.","Financials"
"AAL","1996-01-02","1997-01-15","American Airlines Group Inc.","Industrials"
"AAL","2015-03-23","2024-09-23","American Airlines Group Inc.","Industrials"
"AAMRQ","1996-01-02","2003-03-14","AMR Corporation","Industrials"
"AAP","2015-07-09","2023-08-25","Advance Auto Parts, Inc.","Consumer Discretionary"
"AAPL","1996-01-02",NA,"Apple Inc.","Information Technology"
"ABBV","2013-01-02",NA,"AbbVie","Health Care"
"ABC","2001-08-30","2023-08-30","Cencora Inc.","Health Care"
"ABI","1996-01-02","2008-11-24","Anheuser-Busch InBev SA/NV","Consumer Staples"
"ABKFQ","2000-12-11","2008-06-11","Ambac Financial Group, Inc.","Financials"
"ABMD","2018-05-31","2022-12-22","Abiomed, Inc.","Health Care"
"ABNB","2023-09-18",NA,"Airbnb","Consumer Discretionary"
"ABS","1996-01-02","2006-06-02","Albertsons Companies, Inc.","Consumer Staples"
"ABT","1996-01-02",NA,"Abbott Laboratories","Health Care"
"ABX","1996-01-02","2002-07-22","Barrick Gold Corporation","Materials"
"ACAS","2007-07-09","2009-03-04","American Capital, Ltd.","Financials"
"ACGL","2022-11-01",NA,"Arch Capital Group","Financials"
"ACKH","1996-01-02","2000-11-17","Ackerman Holdings Inc.","Financials"
"ACN","2011-07-06",NA,"Accenture","Information Technology"
"ACS","2004-04-02","2010-02-08","Affiliated Computer Services, Inc.","Information Technology"
"ACV","1996-01-02","2006-11-17","AllianzGI Diversified Income & Convertible Fund","Financials"
"ADBE","1997-05-06",NA,"Adobe Inc.","Information Technology"
"ADCT","1999-08-02","2007-07-02","ADC Telecommunications, Inc.","Information Technology"
"ADI","1999-10-12",NA,"Analog Devices","Information Technology"
"ADM","1996-01-02",NA,"Archer Daniels Midland","Consumer Staples"
"ADP","1996-01-02",NA,"Automatic Data Processing","Industrials"
"ADS","2013-12-23","2020-06-22","Alliance Data Systems Corporation","Financials"
"ADSK","1996-01-02",NA,"Autodesk","Information Technology"
"ADT","2012-10-02","2016-05-02","ADT Inc.","Industrials"
"AEE","1996-01-02",NA,"Ameren","Utilities"
"AEP","1996-01-02",NA,"American Electric Power","Utilities"
"AES","1998-10-02",NA,"AES Corporation","Utilities"
